id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Norm. citations>	weight<Citations>	score<Pub. year>	score<Norm. citations>	score<Citations>
841	alexander j. stell (2015)	"<table><tr><td>Authors:</td><td>alexander j. stell; tom farsides</td></tr><tr><td>Title:</td><td>brief loving-kindness meditation reduces racial bias, mediated by positive other-regarding emotions</td></tr><tr><td>Source:</td><td>motivation and emotion, 40(1), 140-147</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s11031-015-9514-x	-0.0288	-0.4936	2	154	172	1.0542	55	2015	1.0542	55
842	rachel cunningham (2016)	"<table><tr><td>Authors:</td><td>rachel cunningham; martin j. turner</td></tr><tr><td>Title:</td><td>using rational emotive behavior therapy (rebt) with mixed martial arts (mma) athletes to reduce irrational beliefs and increase unconditional self-acceptance</td></tr><tr><td>Source:</td><td>journal of rational-emotive & cognitive-behavior therapy/journal of rational-emotive and cognitive-behavior therapy, 34(4), 289-309</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10942-016-0240-4	-0.4432	0.0421	1	376	436	0.7283	35	2016	0.7283	35
843	mark d. terjesen (2009)	"<table><tr><td>Authors:</td><td>mark d. terjesen; jennifer salhany; mark j. sciutto</td></tr><tr><td>Title:</td><td>a psychometric review of measures of irrational beliefs: implications for psychotherapy</td></tr><tr><td>Source:</td><td>journal of rational-emotive & cognitive-behavior therapy/journal of rational-emotive and cognitive-behavior therapy, 27(2), 83-96</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10942-009-0093-1	-0.7775	0.3407	1	108	133	0.4511	44	2009	0.4511	44
844	tony toneatto (2009)	"<table><tr><td>Authors:</td><td>tony toneatto; mekhala gunaratne</td></tr><tr><td>Title:</td><td>does the treatment of cognitive distortions improve clinical outcomes for problem gambling?</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 39(4), 221-229</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-009-9119-3	-0.5255	0.1433	1	104	125	0.4204	41	2009	0.4204	41
845	anton leitner (2012)	"<table><tr><td>Authors:</td><td>anton leitner; michael märtens; alexandra koschier; katharina gerlich; gregor liegl; heidemarie hinterwallner; ulrich schnyder</td></tr><tr><td>Title:</td><td>patients’ perceptions of risky developments during psychotherapy</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 43(2), 95-105</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-012-9215-7	-0.6441	-0.0921	1	157	174	0.4569	30	2012	0.4569	30
846	amy cameron (2013)	"<table><tr><td>Authors:</td><td>amy cameron; kathleen m. palm reed; brandon a. gaudiano</td></tr><tr><td>Title:</td><td>addressing treatment motivation in borderline personality disorder: rationale for incorporating values-based exercises into dialectical behavior therapy</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 44(2), 109-116</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-013-9253-9	-0.612	-0.2865	2	420	567	0.4643	26	2013	0.4643	26
847	terri l. barrera (2014)	"<table><tr><td>Authors:</td><td>terri l. barrera; kathleen m. grubbs; mark e. kunik; ellen j. teng</td></tr><tr><td>Title:</td><td>a review of cognitive behavioral therapy for panic disorder in patients with chronic obstructive pulmonary disease: the rationale for interoceptive exposure</td></tr><tr><td>Source:</td><td>journal of clinical psychology in medical settings, 21(2), 144-154</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10880-014-9393-4	0.7546	0.2692	5	666	953	0.3914	22	2014	0.3914	22
848	mark burton (2015)	"<table><tr><td>Authors:</td><td>mark burton; andrew a. cooper; norah c. feeny; lori a. zoellner</td></tr><tr><td>Title:</td><td>the enhancement of natural resilience in trauma interventions</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 45(4), 193-204</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-015-9302-7	0.3608	-0.1915	4	587	966	0.4217	22	2015	0.4217	22
849	barbara hoff esbjørn (2015)	"<table><tr><td>Authors:</td><td>barbara hoff esbjørn; nicoline normann; marie louise reinholdt‐dunne</td></tr><tr><td>Title:</td><td>adapting metacognitive therapy to children with generalised anxiety disorder: suggestions for a manual</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 45(3), 159-166</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-015-9294-3	0.1546	-0.3942	5	338	403	0.4217	22	2015	0.4217	22
850	akiko okifuji (2015)	"<table><tr><td>Authors:</td><td>akiko okifuji; dennis c. turk</td></tr><tr><td>Title:</td><td>behavioral and cognitive–behavioral approaches to treating patients with chronic pain: thinking outside the pill box</td></tr><tr><td>Source:</td><td>journal of rational-emotive & cognitive-behavior therapy/journal of rational-emotive and cognitive-behavior therapy, 33(3), 218-238</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10942-015-0215-x	-0.0759	-0.0533	1	101	217	0.3833	20	2015	0.3833	20
851	espen folmo (2019)	"<table><tr><td>Authors:</td><td>espen folmo; sigmund karterud; mickey kongerslev; elfrida hartveit kvarstein; erik stänicke</td></tr><tr><td>Title:</td><td>battles of the comfort zone: modelling therapeutic strategy, alliance, and epistemic trust—a qualitative study of mentalization-based therapy for borderline personality disorder</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 49(3), 141-151</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-018-09414-3	-1.0071	-0.1577	1	313	405	0.8118	19	2019	0.8118	19
852	lobsang rapgay (2009)	"<table><tr><td>Authors:</td><td>lobsang rapgay; alexander bystritsky; roger e. dafter; michelle spearman</td></tr><tr><td>Title:</td><td>new strategies for combining mindfulness with integrative cognitive behavioral therapy for the treatment of generalized anxiety disorder</td></tr><tr><td>Source:</td><td>journal of rational-emotive & cognitive-behavior therapy/journal of rational-emotive and cognitive-behavior therapy, 29(2), 92-119</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10942-009-0095-z	-0.3852	-0.3648	2	645	984	0.2563	25	2009	0.2563	25
853	antonia csillik (2014)	"<table><tr><td>Authors:</td><td>antonia csillik</td></tr><tr><td>Title:</td><td>positive motivational interviewing: activating clients’ strengths and intrinsic motivation to change</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 45(2), 119-128</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-014-9288-6	-0.6417	-0.1918	1	292	456	0.3381	19	2014	0.3381	19
854	ladislav timulák (2019)	"<table><tr><td>Authors:</td><td>ladislav timulák; daragh keogh</td></tr><tr><td>Title:</td><td>emotion-focused therapy: a transdiagnostic formulation</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 50(1), 1-13</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-019-09426-7	-0.5113	-0.323	1	162	311	0.7263	17	2019	0.7263	17
855	andrew g. wood (2020)	"<table><tr><td>Authors:</td><td>andrew g. wood; rory mack; martin j. turner</td></tr><tr><td>Title:</td><td>developing self-determined motivation and performance with an elite athlete: integrating motivational interviewing with rational emotive behavior therapy</td></tr><tr><td>Source:</td><td>journal of rational-emotive & cognitive-behavior therapy/journal of rational-emotive and cognitive-behavior therapy, 38(4), 540-567</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10942-020-00351-6	-0.5778	-0.0789	1	252	309	0.8891	14	2020	0.8891	14
856	steffen moritz (2010)	"<table><tr><td>Authors:</td><td>steffen moritz; nathalie wess; andrás treszl; lena jelinek</td></tr><tr><td>Title:</td><td>the attention training technique as an attempt to decrease intrusive thoughts in obsessive–compulsive disorder (ocd): from cognitive theory to practice and back</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 41(3), 135-143</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-010-9169-6	0.6136	-0.1512	5	207	389	0.1703	21	2010	0.1703	21
857	samantha a. rodman (2009)	"<table><tr><td>Authors:</td><td>samantha a. rodman; stacey b. daughters; carl w. lejuez</td></tr><tr><td>Title:</td><td>distress tolerance and rational-emotive behavior therapy: a new role for behavioral analogue tasks</td></tr><tr><td>Source:</td><td>journal of rational-emotive & cognitive-behavior therapy/journal of rational-emotive and cognitive-behavior therapy, 27(2), 97-120</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10942-009-0090-4	-0.278	-0.0474	2	533	621	0.2153	21	2009	0.2153	21
858	christian sunday ugwuanyi (2020)	"<table><tr><td>Authors:</td><td>christian sunday ugwuanyi; chinedu ifedi okeke; matthias u. agboeze</td></tr><tr><td>Title:</td><td>management of test anxiety among pupils in basic science using music-based cognitive behavior therapy intervention: implication for community development</td></tr><tr><td>Source:</td><td>journal of rational-emotive & cognitive-behavior therapy/journal of rational-emotive and cognitive-behavior therapy, 39(3), 285-305</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10942-020-00371-2	0.3965	-0.4246	7	176	185	0.7621	12	2020	0.7621	12
859	jochem willemsen (2022)	"<table><tr><td>Authors:</td><td>jochem willemsen</td></tr><tr><td>Title:</td><td>the use of evidence in clinical reasoning</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 52(4), 293-302</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-022-09544-9	-0.7843	-0.0527	1	130	152	1.0925	6	2022	1.0925	6
860	linnea cain (2024)	"<table><tr><td>Authors:</td><td>linnea cain; esben strodl; glenn howard</td></tr><tr><td>Title:</td><td>targeting beliefs about emotions via meta-emotion therapy for adolescents with anxiety: a case series study</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy</td></tr><tr><td>Year:</td><td>2024</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-023-09605-7	-0.0692	-0.2899	5	300	309	0	0	2024	0	0
862	kees korrelboom (2013)	"<table><tr><td>Authors:</td><td>kees korrelboom; sjef peeters; sacha blom; irma huijbrechts</td></tr><tr><td>Title:</td><td>competitive memory training (comet) for panic and applied relaxation (ar) are equally effective in the treatment of panic in panic-disordered patients</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 44(3), 183-190</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-013-9259-3	0.3597	0.2474	5	284	370	0.2678	15	2013	0.2678	15
863	lauren carter (2018)	"<table><tr><td>Authors:</td><td>lauren carter; jill harper; james k. luiselli</td></tr><tr><td>Title:</td><td>dental desensitization for students with autism spectrum disorder through graduated exposure, reinforcement, and reinforcement-fading</td></tr><tr><td>Source:</td><td>journal of developmental and physical disabilities, 31(2), 161-170</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10882-018-9635-8	-0.5902	1.0928	1	11	12	0.3561	13	2018	0.3561	13
864	martin j. turner (2014)	"<table><tr><td>Authors:</td><td>martin j. turner; jamie b. barker</td></tr><tr><td>Title:</td><td>examining the effects of rational emotive behavior therapy (rebt) on the irrational beliefs of blue-chip professionals</td></tr><tr><td>Source:</td><td>journal of rational-emotive & cognitive-behavior therapy/journal of rational-emotive and cognitive-behavior therapy, 33(1), 17-36</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10942-014-0200-9	-0.6167	0.1785	1	31	60	0.1957	11	2014	0.1957	11
865	fabian gander (2017)	"<table><tr><td>Authors:</td><td>fabian gander; rené t. proyer; willibald ruch</td></tr><tr><td>Title:</td><td>a placebo-controlled online study on potential mediators of a pleasure-based positive psychology intervention: the role of emotional and cognitive components</td></tr><tr><td>Source:</td><td>journal of happiness studies, 19(7), 2035-2048</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10902-017-9909-3	-0.3263	-0.4903	2	185	294	0.302	11	2017	0.302	11
866	christina m. luberto (2019)	"<table><tr><td>Authors:</td><td>christina m. luberto; daniel l. hall; emma chad‐friedman; elyse r. park</td></tr><tr><td>Title:</td><td>theoretical rationale and case illustration of mindfulness-based cognitive therapy for fear of cancer recurrence</td></tr><tr><td>Source:</td><td>journal of clinical psychology in medical settings, 26(4), 449-460</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10880-019-09610-w	-0.0191	-0.6692	2	326	437	0.47	11	2019	0.47	11
867	simon d. r. simpson (2011)	"<table><tr><td>Authors:</td><td>simon d. r. simpson; windy dryden</td></tr><tr><td>Title:</td><td>comparison between rebt and visual/kinaesthetic dissociation in the treatment of panic disorder: an empirical study</td></tr><tr><td>Source:</td><td>journal of rational-emotive & cognitive-behavior therapy/journal of rational-emotive and cognitive-behavior therapy, 29(3), 158-176</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10942-011-0136-2	0.0142	0.2336	5	380	448	0.1258	11	2011	0.1258	11
868	keely gordon-king (2018)	"<table><tr><td>Authors:</td><td>keely gordon-king; robert schweitzer; giancarlo dimaggio</td></tr><tr><td>Title:</td><td>metacognitive interpersonal therapy for personality disorders: the case of a man with obsessive–compulsive personality disorder and avoidant personality disorder</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 49(1), 39-47</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-018-9404-0	-0.6634	-0.4854	1	28	52	0.2739	10	2018	0.2739	10
869	murat kaan artiran (2021)	"<table><tr><td>Authors:</td><td>murat kaan artiran; raymond digiuseppe</td></tr><tr><td>Title:</td><td>rational emotive behavior therapy compared to client-centered therapy for outpatients: a randomized clinical trial with a three months follow up</td></tr><tr><td>Source:</td><td>journal of rational-emotive & cognitive-behavior therapy/journal of rational-emotive and cognitive-behavior therapy, 40(2), 206-233</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10942-021-00408-0	-0.2717	-0.0284	1	1277	1499	0.8112	7	2021	0.8112	7
870	dominic julien (2016a)	"<table><tr><td>Authors:</td><td>dominic julien; kieron o’connor</td></tr><tr><td>Title:</td><td>recasting psychodynamics into a behavioral framework: a review of the theory of psychopathology, treatment efficacy, and process of change of the affect phobia model</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 47(1), 1-10</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-016-9324-9	-0.8996	0.0338	1	215	269	0.1665	8	2016	0.1665	8
871	sophie juul (2020)	"<table><tr><td>Authors:</td><td>sophie juul; sebastian simonsen; anthony bateman</td></tr><tr><td>Title:</td><td>the capacity to end: termination of mentalization-based therapy for borderline personality disorder</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 50(4), 331-338</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-020-09456-6	-0.4335	-0.3134	1	472	547	0.4446	7	2020	0.4446	7
872	iman askari (2018)	"<table><tr><td>Authors:</td><td>iman askari</td></tr><tr><td>Title:</td><td>the role of the belief system for anger management of couples with anger and aggression: a cognitive-behavioral perspective</td></tr><tr><td>Source:</td><td>journal of rational-emotive & cognitive-behavior therapy/journal of rational-emotive and cognitive-behavior therapy, 37(3), 223-240</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10942-018-0307-5	-0.6236	0.0173	1	66	84	0.1917	7	2018	0.1917	7
873	chloë shaw (2019)	"<table><tr><td>Authors:</td><td>chloë shaw; chris lo; anne lanceley; sarah hales; gary rodin</td></tr><tr><td>Title:</td><td>the assessment of mentalization: measures for the patient, the therapist and the interaction</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 50(1), 57-65</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-019-09420-z	-0.6234	-0.4239	1	113	134	0.2991	7	2019	0.2991	7
874	caitlin e. walsh (2018)	"<table><tr><td>Authors:</td><td>caitlin e. walsh; eric j. moody; audrey blakeley‐smith; amie duncan; susan hepburn; amy keefer; laura g. klinger; allison meyer; sarah o’kelley; judy reaven</td></tr><tr><td>Title:</td><td>the relationship between treatment acceptability and youth outcome in group cbt for youth with asd and anxiety</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 48(3), 123-132</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-018-9380-4	-0.0045	0.3206	6	179	235	0.1917	7	2018	0.1917	7
875	christina m. sheerin (2011)	"<table><tr><td>Authors:</td><td>christina m. sheerin; richard w. seim; c. richard spates</td></tr><tr><td>Title:</td><td>a new appraisal of combined treatments for ptsd in the era of psychotherapy adjunctive medications</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 42(2), 69-76</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-011-9195-z	1.8893	0.2773	3	377	1047	0.0686	6	2011	0.0686	6
876	phyllis s. kosminsky (2016)	"<table><tr><td>Authors:</td><td>phyllis s. kosminsky</td></tr><tr><td>Title:</td><td>cbt for grief: clearing cognitive obstacles to healing from loss</td></tr><tr><td>Source:</td><td>journal of rational-emotive & cognitive-behavior therapy/journal of rational-emotive and cognitive-behavior therapy, 35(1), 26-37</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10942-016-0241-3	-0.5042	-0.0889	1	4	4	0.104	5	2016	0.104	5
877	rainer sachse (2018a)	"<table><tr><td>Authors:</td><td>rainer sachse; uëli kramer</td></tr><tr><td>Title:</td><td>clarification-oriented psychotherapy of dependent personality disorder</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 49(1), 15-25</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-018-9397-8	-0.7201	-0.0363	1	386	394	0.1643	6	2018	0.1643	6
878	shamell brandon (2020)	"<table><tr><td>Authors:</td><td>shamell brandon; christina pallotti; meenal jog</td></tr><tr><td>Title:</td><td>exploratory study of common changes in client behaviors following routine psychotherapy: does psychological flexibility typically change and predict outcomes?</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 51(1), 49-56</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-020-09468-2	-0.2046	-0.7754	2	251	374	0.254	4	2020	0.254	4
879	daniel david (2016)	"<table><tr><td>Authors:</td><td>daniel david; silviu matu; cristina mogoaşe; bogdan voinescu</td></tr><tr><td>Title:</td><td>integrating cognitive processing, brain activity, molecules and genes to advance evidence-based psychological treatment for depression and anxiety: from cognitive neurogenetics to cbt-based neurogenetics</td></tr><tr><td>Source:</td><td>journal of rational-emotive & cognitive-behavior therapy/journal of rational-emotive and cognitive-behavior therapy, 34(3), 149-168</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10942-016-0233-3	0.3456	-0.0932	6	801	1041	0.0624	3	2016	0.0624	3
880	suci anggawati sari (2022)	"<table><tr><td>Authors:</td><td>suci anggawati sari; gian sugiana sugara; feida noorlaila isti’adah</td></tr><tr><td>Title:</td><td>effects of rational emotive behavior therapy on academic grit</td></tr><tr><td>Source:</td><td>journal of rational-emotive & cognitive-behavior therapy/journal of rational-emotive and cognitive-behavior therapy, 40(4), 857-878</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10942-022-00444-4	-0.4124	0.2022	1	286	304	0.3642	2	2022	0.3642	2
881	cary jordan (2016)	"<table><tr><td>Authors:</td><td>cary jordan; adam m. reid; andrew g. guzick; j. alan simmons; michael l. sulkowski</td></tr><tr><td>Title:</td><td>when exposures go right: effective exposure-based treatment for obsessive–compulsive disorder</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 47(1), 31-39</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-016-9339-2	0.981	0.1093	3	492	690	0.0416	2	2016	0.0416	2
882	rosita borlimi (2018)	"<table><tr><td>Authors:</td><td>rosita borlimi; gerhard benetka; gianni brighetti; gabriele caselli; elisabetta caletti; carolina a. redaelli; giovanni maria ruggiero; diego sarracino; sandra sassaroli</td></tr><tr><td>Title:</td><td>an investigation of sequencing effects in combining cognitive questioning and mindful acceptance</td></tr><tr><td>Source:</td><td>journal of rational-emotive & cognitive-behavior therapy/journal of rational-emotive and cognitive-behavior therapy, 37(3), 284-298</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10942-018-0312-8	-0.1958	-0.1898	2	835	1053	0.0548	2	2018	0.0548	2
883	carlos p. zalaquett (2012)	"<table><tr><td>Authors:</td><td>carlos p. zalaquett; seriashia j. chatters; allen e. ivey</td></tr><tr><td>Title:</td><td>psychotherapy integration: using a diversity-sensitive developmental model in the initial interview</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 43(1), 53-62</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-012-9224-6	-0.846	-0.0691	1	257	265	0.0152	1	2012	0.0152	1
884	niel mclachlan (2012)	"<table><tr><td>Authors:</td><td>niel mclachlan; robert d. friedberg</td></tr><tr><td>Title:</td><td>family augmented cognitive behavioural therapy: make room for mum!</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 42(4), 265-270</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-012-9209-5	-0.3726	0.2533	1	129	149	0.0152	1	2012	0.0152	1
885	sonia a. sofia (2017)	"<table><tr><td>Authors:</td><td>sonia a. sofia; paul h. lysaker; giancarlo dimaggio</td></tr><tr><td>Title:</td><td>metacognitive interpersonal therapy improves adherence to antiretroviral therapies in a man with a severe personality disorder: a case report</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 47(4), 223-232</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-017-9363-x	-0.2518	-0.2412	1	379	420	0	0	2017	0	0
886	espen folmo (2021)	"<table><tr><td>Authors:</td><td>espen folmo; tuva langjord; nini c. s. myhrvold; majse lind</td></tr><tr><td>Title:</td><td>metaphors in mentalization-based treatment: reintroducing the language of change in “plain old therapy”</td></tr><tr><td>Source:</td><td>journal of contemporary psychotherapy, 51(4), 331-339</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10879-021-09512-9	-1.0106	-0.0667	1	152	178	0	0	2021	0	0
887	jennifer s. cheavens (2006)	"<table><tr><td>Authors:</td><td>jennifer s. cheavens; david b. feldman; amber m. gum; scott t. michael; c. r. snyder</td></tr><tr><td>Title:</td><td>hope therapy in a community sample: a pilot investigation</td></tr><tr><td>Source:</td><td>social indicators research, 77(1), 61-78</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s11205-005-5553-0	-0.3752	-0.1019	1	233	272	1.9332	322	2006	1.9332	322
888	paul grossman (2010)	"<table><tr><td>Authors:</td><td>paul grossman</td></tr><tr><td>Title:</td><td>mindfulness for psychologists: paying kind attention to the perceptible</td></tr><tr><td>Source:</td><td>mindfulness, 1(2), 87-97</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12671-010-0012-7	-0.406	-0.8223	2	167	197	0.8839	109	2010	0.8839	109
889	kelly a. knowles (2018)	"<table><tr><td>Authors:</td><td>kelly a. knowles; sarah c. jessup; bunmi o. olatunji</td></tr><tr><td>Title:</td><td>disgust in anxiety and obsessive-compulsive disorders: recent findings and future directions</td></tr><tr><td>Source:</td><td>current psycchiatry reports/current psychiatry reports, 20(9)</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s11920-018-0936-5	1.0079	0.1534	3	122	291	2.0268	74	2018	2.0268	74
890	corrine i. voils (2014)	"<table><tr><td>Authors:</td><td>corrine i. voils; heather a. king; matthew l. maciejewski; kelli d. allen; william s. yancy; jonathan a. shaffer</td></tr><tr><td>Title:</td><td>approaches for informing optimal dose of behavioral interventions</td></tr><tr><td>Source:</td><td>annals of behavioral medicine, 48(3), 392-401</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12160-014-9618-7	-0.457	-0.0459	1	73	76	1.4412	81	2014	1.4412	81
891	david call (2013)	"<table><tr><td>Authors:</td><td>david call; lynsey r. miron; holly k. orcutt</td></tr><tr><td>Title:</td><td>effectiveness of brief mindfulness techniques in reducing symptoms of anxiety and stress</td></tr><tr><td>Source:</td><td>mindfulness, 5(6), 658-668</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12671-013-0218-6	-0.1987	-0.5637	2	745	1154	1.2142	68	2013	1.2142	68
892	hooria jazaieri (2017)	"<table><tr><td>Authors:</td><td>hooria jazaieri; kelly mcgonigal; ihno a. lee; thupten jinpa; james r. doty; james j. gross; philippe r. goldin</td></tr><tr><td>Title:</td><td>altering the trajectory of affect and affect regulation: the impact of compassion training</td></tr><tr><td>Source:</td><td>mindfulness, 9(1), 283-293</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12671-017-0773-3	-0.0335	-0.6282	2	721	1188	1.4551	53	2017	1.4551	53
893	cori fujii (2012)	"<table><tr><td>Authors:</td><td>cori fujii; patricia renno; bryce d. mcleod; chunqing lin; kelly decker; kaycie zielinski; jeffrey j. wood</td></tr><tr><td>Title:</td><td>intensive cognitive behavioral therapy for anxiety disorders in school-aged children with autism: a preliminary comparison with treatment-as-usual</td></tr><tr><td>Source:</td><td>school mental health, 5(1), 25-37</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12310-012-9090-0	0.0937	0.074	6	120	213	0.9747	64	2012	0.9747	64
894	noga zerubavel (2013)	"<table><tr><td>Authors:</td><td>noga zerubavel; terri l. messman‐moore</td></tr><tr><td>Title:</td><td>staying present: incorporating mindfulness into therapy for dissociation</td></tr><tr><td>Source:</td><td>mindfulness, 6(2), 303-314</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12671-013-0261-3	-0.2206	-0.645	2	997	1643	0.875	49	2013	0.875	49
895	jon g. caldwell (2014)	"<table><tr><td>Authors:</td><td>jon g. caldwell; phillip r. shaver</td></tr><tr><td>Title:</td><td>promoting attachment-related mindfulness and compassion: a wait-list-controlled study of women who were mistreated during childhood</td></tr><tr><td>Source:</td><td>mindfulness, 6(3), 624-636</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12671-014-0298-y	-0.4862	-0.4136	2	897	1336	0.8007	45	2014	0.8007	45
