id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. norm. citations>	score<Avg. pub. year>	score<Avg. citations>
330	stage	0.4673	0.3276	1	371	3147	213	1.249	2009.9812	95.9437
331	state	0.5168	0.2174	1	381	6300	365	1.1184	2010.7616	72.0932
332	stimuli	-0.428	0.8097	3	374	5820	352	1.1109	2012.429	64.8097
333	stimulus	-0.4319	1.1093	3	342	3510	195	1.0022	2011.7487	55.4872
334	strength	0.4937	0.2117	1	358	2551	160	0.9382	2011.7375	57.75
335	stress disorder	-0.2447	0.5991	4	360	2724	160	1.4839	2014.0375	67.7188
336	stress reduction	-0.0971	-0.8506	2	279	1058	61	1.929	2014.2951	122.623
337	structure	0.5987	0.3714	1	369	3346	184	1.4773	2007.9728	99.5054
338	successful treatment	-0.2581	0.5024	4	256	745	52	0.7583	2008.7692	42.3269
339	suggestion	0.5654	0.0552	1	355	2235	165	1.1337	2005.5273	69.7576
340	suppression	-0.4486	0.3977	2	299	1250	89	1.8837	2011.618	144.2584
341	symptom change	-0.998	-0.1913	2	279	1133	74	0.9985	2016.4189	45.4324
342	symptom reduction	-0.9677	0.0568	2	334	2311	136	0.9161	2015.5368	49.6397
343	symptom severity	-1.0137	-0.0152	2	341	2571	140	0.9835	2016.4429	43.1214
344	system	0.5681	0.4709	1	384	6573	397	1.2078	2009.2922	61.806
345	systematic review	-0.1563	-0.5036	2	351	2530	130	2.3572	2015.2	103.0308
346	task	-0.4572	0.3732	2	384	7868	513	0.919	2012.8889	48.2398
347	test	-0.6518	0.3138	2	381	5566	378	0.8166	2010.5132	42.6455
348	theme	1.0016	-0.1712	1	342	2719	165	0.5494	2013.3939	27.8424
349	theoretical framework	0.8152	-0.0688	1	312	1259	83	1.0219	2012.5181	54.0482
350	theoretical model	0.3863	-0.3071	1	300	1093	85	1.3447	2012.5176	75.7529
351	theory	0.7009	0.1114	1	385	13648	1011	1.1574	2008.7962	77.6499
352	therapeutic alliance	0.581	-0.6109	1	335	2091	132	0.6322	2012.947	37.4545
353	therapeutic approach	0.5793	0.2307	1	304	1226	90	0.6888	2011.9444	35.0444
354	therapeutic change	0.7484	-0.1145	1	296	1125	76	0.9353	2008.0526	51.9474
355	therapeutic intervention	0.812	0.3986	1	301	1428	100	0.5596	2011.01	33.6
356	therapeutic process	0.8682	-0.4763	1	317	1737	122	0.4813	2013	21.7049
357	therapeutic relationship	1.0559	-0.2631	1	327	2223	129	0.5792	2011.2636	29.2481
358	therapist	0.763	-0.3952	1	375	9197	624	0.6514	2008.3686	38.149
359	threat	-0.5058	0.5396	3	368	3738	220	1.5357	2013.9545	93.5091
360	tool	0.326	0.0034	1	378	3713	216	1.003	2014.287	49
361	translation	0.4846	0.6501	1	316	1473	75	1.1466	2014.3867	60.0667
362	translational research	0.27	1.0009	3	241	1021	73	1.5091	2014.2329	75.1233
363	trauma	0.0439	0.343	4	382	6155	358	1.1381	2013.2821	66.6257
364	traumatic event	-0.01	0.4155	4	333	1510	71	1.8461	2011.1268	137.0986
365	treatment condition	-0.9491	-0.386	2	325	2201	141	1.1256	2008.3901	76.7376
366	treatment effect	-0.7924	-0.196	2	353	2534	187	1.2066	2008.877	62.861
367	treatment efficacy	-0.5921	0.1459	2	299	1059	72	1.4897	2009.0694	79.2222
368	treatment gain	-0.8094	-0.215	2	304	1287	84	1.0221	2007.7619	74.4405
369	treatment group	-0.6241	-0.6378	2	337	2129	138	0.8338	2004.8696	57.6087
370	treatment outcome	-0.5936	-0.1451	2	383	7154	548	0.903	2012.531	53.031
371	treatment process	0.5132	-0.5065	1	281	883	65	0.6517	2010.1846	33.4308
372	treatment protocol	-0.1861	-0.3668	2	309	1274	88	0.9253	2011.7955	50.6818
373	treatment response	-0.9329	0.1	2	343	2480	157	1.0558	2014.0382	57.0892
374	treatment session	-0.5932	-0.1298	2	315	1408	84	0.91	2006.9881	63.6548
375	trial	-0.6123	-0.0525	2	385	12179	719	1.2949	2013.8651	68.509
376	turn	0.7531	0.0659	1	329	1542	91	1.2841	2011.6484	96.6703
377	understanding	0.6862	0.4093	1	385	9670	589	1.1287	2012.0611	59.7436
378	variance	-0.3998	-0.4851	2	337	1454	78	0.9652	2012.2308	59.0769
379	veteran	-0.6431	0.0123	4	356	2250	112	1.1617	2015.5982	60.1696
380	vivo exposure	-0.916	0.3944	2	235	840	54	0.8123	2005.4444	50.2778
381	vulnerability	0.2562	0.2991	1	343	1939	104	1.2988	2010.7692	75.1346
382	way	0.6111	0.1026	1	385	9606	587	1.0546	2011.3203	64.9421
383	web	-0.2186	-0.4537	2	319	1321	61	1.7266	2014.7869	87.4918
384	work	0.6578	0.1627	1	385	9157	567	0.9632	2010.2875	55.0847
385	world	0.9682	-0.1261	1	340	2856	141	0.7477	2010.4113	44.9149
386	worry	-0.3087	-0.6021	2	338	2146	133	0.9756	2013.7594	56.0602
